Date,F,JNJ,JPM,KO,WMT
1990-01-02,2.0668747425079346,3.149315118789673,3.1776716709136963,2.031177520751953,1.178632378578186
1990-01-03,2.0782923698425293,3.1624643802642822,3.2835919857025146,2.0018835067749023,1.178632378578186
1990-01-04,2.0782923698425293,3.1690402030944824,3.2968313694000244,1.9921165704727173,1.172379493713379
1990-01-05,2.049746513366699,3.136164426803589,3.3100738525390625,1.9758410453796387,1.1598745584487915
1990-01-08,2.049746513366699,3.1887643337249756,3.3100738525390625,2.018157720565796,1.1755056381225586
1990-01-09,2.0154876708984375,3.0901424884796143,3.204150438308716,2.0018835067749023,1.144242286682129
1990-01-10,2.032616376876831,3.0441181659698486,3.1909096240997314,1.9888619184494019,1.144242286682129
1990-01-11,2.055455207824707,3.083566665649414,3.1511893272399902,1.9888619184494019,1.156747579574585
1990-01-12,1.9983593225479126,2.9915177822113037,3.124708414077759,1.9172502756118774,1.1129790544509888
1990-01-15,1.9755208492279053,2.978369951248169,3.124708414077759,1.8847005367279053,1.0973470211029053
1990-01-16,2.055455207824707,2.978369951248169,3.111468553543091,1.900973916053772,1.1161049604415894
1990-01-17,2.021197557449341,2.9520719051361084,3.0982296466827393,1.887953519821167,1.103600025177002
1990-01-18,2.021197557449341,2.978369951248169,3.071746826171875,1.8781893253326416,1.0848420858383179
1990-01-19,2.0383260250091553,3.0178205966949463,3.0585076808929443,1.8912098407745361,1.087967872619629
1990-01-22,1.9869396686553955,2.912623405456543,2.965827226638794,1.835871696472168,1.0598305463790894
1990-01-23,2.0097782611846924,2.9060492515563965,2.8863821029663086,1.848892092704773,1.0598305463790894
1990-01-24,1.963309407234192,2.853449821472168,2.89962100982666,1.839127779006958,1.0660839080810547
1990-01-25,1.9400744438171387,2.7877025604248047,2.873142957687378,1.7903015613555908,1.0473254919052124
1990-01-26,1.9691181182861328,2.781128168106079,2.8069405555725098,1.7577496767044067,1.05357825756073
1990-01-29,1.9807348251342773,2.781128168106079,2.7407398223876953,1.7772812843322754,1.0598305463790894
1990-01-30,1.9749263525009155,2.7351019382476807,2.674537181854248,1.7251982688903809,1.0504517555236816
1990-01-31,2.0039687156677246,2.7548296451568604,2.7275009155273438,1.7935564517974854,1.0660839080810547
1990-02-01,1.9865444898605347,2.807426691055298,2.7539801597595215,1.7903015613555908,1.05357825756073
1990-02-02,2.0039687156677246,2.8731749057769775,2.7672195434570312,1.806577444076538,1.0504517555236816
1990-02-05,2.021395444869995,2.853449821472168,2.7539801597595215,1.8000659942626953,1.0441994667053223
1990-02-06,1.9923524856567383,2.840301036834717,2.7407398223876953,1.7903015613555908,1.0410728454589844
1990-02-07,2.0852906703948975,2.879748582839966,2.7539801597595215,1.809830665588379,1.069210171699524
1990-02-08,2.044630289077759,2.9323477745056152,2.7539801597595215,1.806577444076538,1.0629568099975586
1990-02-09,2.044630289077759,2.9520719051361084,2.7407398223876953,1.796811819076538,1.0910944938659668
1990-02-12,2.044630289077759,2.9323477745056152,2.7539801597595215,1.783791184425354,1.0723356008529663
1990-02-13,2.0504374504089355,2.908026695251465,2.7275009155273438,1.7447307109832764,1.075462818145752
1990-02-14,2.0736730098724365,2.9344615936279297,2.7937026023864746,1.7479841709136963,1.075462818145752
1990-02-15,2.1027164459228516,2.9807262420654297,2.859900951385498,1.809830665588379,1.087967872619629
1990-02-16,2.062055826187134,2.9344615936279297,2.873142957687378,1.783791184425354,1.0723356008529663
1990-02-20,2.044630289077759,2.8815884590148926,2.7937026023864746,1.783791184425354,1.0441994667053223
1990-02-21,2.1027164459228516,2.841933250427246,2.780460834503174,1.783791184425354,1.0410728454589844
1990-02-22,2.0736730098724365,2.8088884353637695,2.7407398223876953,1.7642604112625122,1.0254411697387695
1990-02-23,2.079481363296509,2.7560172080993652,2.701021194458008,1.770770788192749,1.016061544418335
1990-02-26,2.1317591667175293,2.8221068382263184,2.7539801597595215,1.8033217191696167,1.0473254919052124
1990-02-27,2.143376588821411,2.8221068382263184,2.701021194458008,1.8195968866348267,1.0817155838012695
1990-02-28,2.137566566467285,2.835325002670288,2.7142608165740967,1.835871696472168,1.1004732847213745
1990-03-01,2.1317591667175293,2.8551526069641113,2.701021194458008,1.842381477355957,1.1161049604415894
1990-03-02,2.189844846725464,2.908026695251465,2.7539801597595215,1.8293626308441162,1.1286104917526245
1990-03-05,2.1782279014587402,2.8617610931396484,2.7937026023864746,1.8293626308441162,1.1223583221435547
1990-03-06,2.2130799293518066,2.9212443828582764,2.8201816082000732,1.8619129657745361,1.144242286682129
1990-03-07,2.189844846725464,2.9212443828582764,2.8334224224090576,1.8586583137512207,1.1317367553710938
