Date,spx_normalised,log_return
1995-01-03,1.0,
1995-01-04,1.0034850169993372,0.003478958399728782
1995-01-05,1.0026791205279193,-0.0008034203181006561
1995-01-06,1.0034196758387133,0.0007383039616737364
1995-01-09,1.0037463816418326,0.0003255393890180258
1995-01-10,1.0055978031544026,0.001842812247422998
1995-01-11,1.0055542645377102,-4.329719010165434e-05
1995-01-12,1.0055107259210179,-4.329906482958279e-05
1995-01-13,1.014941987950638,0.009335858707109956
1995-01-16,1.0223694100736793,0.007291428337115491
1995-01-17,1.0238287181513357,0.001426360727186271
1995-01-18,1.0230881628405417,-0.0007235812552845999
1995-01-19,1.017076576649635,-0.005893253101852736
1995-01-20,1.0123500111272739,-0.0046580389721695425
1995-01-23,1.0146152821475187,0.002235136408933691
1995-01-24,1.0147023593809035,8.581922480388471e-05
1995-01-25,1.018143837763548,0.0033858751097648465
1995-01-26,1.020060600436742,0.0018808351138108748
1995-01-27,1.0245693399333002,0.004410330413175956
1995-01-30,1.0204744499444167,-0.004004701984228198
1995-01-31,1.024634681093924,0.004068474219667273
1995-02-01,1.024591076006061,-4.2557622280448015e-05
1995-02-02,1.0297968321967206,0.005067949740135802
1995-02-03,1.0425606263604987,0.012318295291448678
1995-02-06,1.0479842085769613,0.005188689851421735
1995-02-07,1.0472653893389283,-0.0006861418963639565
1995-02-08,1.0480930883542776,0.0007900309824897533
1995-02-09,1.045914961038588,-0.002080343580214361
1995-02-10,1.0486811587998923,0.0026412723133217852
1995-02-13,1.049095008307567,0.00039456022003925284
1995-02-14,1.0510553095974533,0.0018668205246843428
1995-02-15,1.0553898281560712,0.004115487841413135
1995-02-16,1.056870938777659,0.0014023939539251629
1995-02-17,1.0497920250016683,-0.0067205248691522
1995-02-21,1.0514256204884356,0.0015549039571469692
1995-02-22,1.0565442329745396,0.004856447579582479
1995-02-23,1.0605519792588678,0.00378608307790973
1995-02-24,1.0631656921549928,0.00246145168066203
1995-02-27,1.0537997712859966,-0.008848497663382027
1995-02-28,1.06159750430002,0.007372391392027389
1995-03-01,1.0578075175703245,-0.003576466725737859
1995-03-02,1.0566749152957875,-0.0010712809576958193
1995-03-03,1.0573065908292651,0.0005976169142893895
1995-03-06,1.0577639789536322,0.0004325038965902195
1995-03-07,1.0501187308047877,-0.007253991541450233
1995-03-08,1.05234046320834,0.0021134614520619266
1995-03-09,1.0523840018250326,4.137227216371997e-05
1995-03-10,1.066345805895142,0.01317960045489297
1995-03-13,1.0673912644651238,0.0009799320339549666
1995-03-14,1.0735772045363117,0.005778653328698979
1995-03-15,1.071377274676691,-0.002051260903037644
1995-03-16,1.0790660614422276,0.007150915721044093
1995-03-17,1.0793056235407916,0.00022198410145435332
1995-03-20,1.0806561183123022,0.0012504804333550723
1995-03-21,1.0783255061314336,-0.0021589929805596597
1995-03-22,1.0796323958150815,0.0012112283026874948
1995-03-23,1.0802422688046276,0.000564729996369806
1995-03-24,1.091176443999767,0.010071081683695304
1995-03-27,1.0960336918433757,0.004441508155907492
1995-03-28,1.097558341081656,0.001390093928962166
1995-03-29,1.095859404434265,-0.0015491230438167136
1995-03-30,1.0938991031443788,-0.0017904273980606789
1995-03-31,1.0906101096269132,-0.003011199022126654
1995-04-03,1.093093206672961,0.0022742083118458822
1995-04-04,1.1004770237081394,0.0067322621552481365
1995-04-05,1.1011958429461723,0.0006529755391548875
1995-04-06,1.102306642676778,0.001008212908264916
1995-04-07,1.1030472644587426,0.0006716580113614867
1995-04-10,1.1043323515984589,0.0011643554878855156
1995-04-11,1.101108699241617,-0.002923365057895033
1995-04-12,1.1046808599455096,0.0032388981186493027
1995-04-13,1.1091677968981362,0.004053522884240657
1995-04-17,1.102415588925265,-0.00610623953540923
1995-04-18,1.1007601908945663,-0.0015027383265397987
1995-04-19,1.0997800734852083,-0.0008907971283553806
1995-04-20,1.1005859699566263,0.0007325113108835879
1995-04-21,1.10755593748413,0.00631299161738319
1995-04-24,1.1171397508500998,0.008615895381055338
1995-04-25,1.1154189451876069,-0.0015415549936692585
1995-04-26,1.1166386911666992,0.001092934233096976
1995-04-27,1.1185772563838248,0.0017345668147186188
1995-04-28,1.1211039585177354,0.002256306110918871
1995-05-01,1.120123774637207,-0.0008746848243230687
1995-05-02,1.1214305978496841,0.0011659974672708628
1995-05-03,1.1336716627284713,0.010856434603802256
1995-05-04,1.133802345049719,0.00011526687489560317
1995-05-05,1.132887568800985,-0.0008071472792181567
1995-05-08,1.1412516361878624,0.007355842669937829
1995-05-09,1.1403803320846502,-0.000763755204768124
1995-05-10,1.1421228073487335,0.0015268111333366363
