cell,seed,status,robust,epsilon,delta,log_return_pa,max_drawdown,volatility,down_deviation,sortino,sharpe,spx_log_return_pa,spx_max_drawdown,spx_volatility,spx_down_deviation,spx_sortino,spx_sharpe,eval_mean_log_return_pa,eval_mean_return_vol,eval_mean_downside_dev,eval_mean_sortino,eval_mean_sharpe,env_mean_log_return_pa,env_mean_return_vol,env_mean_downside_dev,env_mean_sortino,env_mean_sharpe
dqn,1,ok,False,,,0.06245124340057372,-0.1655869553613074,0.1385808571653344,0.0933494476352179,0.4134061154604954,0.2784744828155953,0.12280427160357121,-0.2542509661923039,0.1695108896877881,0.1198044634997844,0.8278882784863759,0.5851229453429376,0.21265347226918171,0.1085868354080754,0.0683649223947036,2.770171003748187,1.740147680375436,0.10069612118837644,0.1395962450510321,0.0989425748367778,0.7906549361393533,0.5565999630636497
dqn,2,ok,False,,,0.0639933407306671,-0.2586741601463976,0.1629486178306721,0.1156470633262715,0.3470859744892234,0.2463320904822082,0.12280427160357121,-0.2542509661923039,0.1695108896877881,0.1198044634997844,0.8278882784863759,0.5851229453429376,0.29911562693204813,0.1349554678413202,0.0870546909253674,3.174908187730866,2.0446841422217683,0.10069612118837644,0.1395962450510321,0.0989425748367778,0.7906549361393533,0.5565999630636497
dqn,3,ok,False,,,0.09147011041641234,-0.1398958616399733,0.1449265547517832,0.097963385413427,0.691336995687511,0.4673105813844169,0.12280427160357121,-0.2542509661923039,0.1695108896877881,0.1198044634997844,0.8278882784863759,0.5851229453429376,0.27731250515944667,0.1161403232757327,0.0725577263890404,3.504801732264397,2.1863207978102026,0.10069612118837644,0.1395962450510321,0.0989425748367778,0.7906549361393533,0.5565999630636497
dqn,4,ok,False,,,0.12216930389404297,-0.1913749072097246,0.1694038834569116,0.1201344488826723,0.8203077010550681,0.5817293651684693,0.12280427160357121,-0.2542509661923039,0.1695108896877881,0.1198044634997844,0.8278882784863759,0.5851229453429376,0.18130695219520185,0.1390286869898382,0.095056397604152,1.667117235705007,1.1369703604219483,0.10069612118837644,0.1395962450510321,0.0989425748367778,0.7906549361393533,0.5565999630636497
dqn,5,ok,False,,,0.05381734967231751,-0.1315011510250509,0.1138534065940985,0.0748456316921447,0.3997954207815379,0.2628198989486542,0.12280427160357121,-0.2542509661923039,0.1695108896877881,0.1198044634997844,0.8278882784863759,0.5851229453429376,0.18575260107465785,0.0808076066556954,0.0509934926788558,3.191194503517055,2.0086728192881753,0.10069612118837644,0.1395962450510321,0.0989425748367778,0.7906549361393533,0.5565999630636497
epsilon0.002_delta5e-05,1,ok,True,0.002,5e-05,0.1023533821105957,-0.1442911153294036,0.1459998026120436,0.1028525191034772,0.7647099418375319,0.5387154125849184,0.12280427160357121,-0.2542509661923039,0.1695108896877881,0.1198044634997844,0.8278882784863759,0.5851229453429376,0.20413354146394797,0.1211788840376355,0.0804820877206248,2.2521356091651477,1.4921741315589354,0.10069612118837644,0.1395962450510321,0.0989425748367778,0.7906549361393533,0.5565999630636497
epsilon0.002_delta5e-05,2,ok,True,0.002,5e-05,0.06800243258476256,-0.0686002342361028,0.0830104154886985,0.0562779629126946,0.7847572249822046,0.5320361034577694,0.12280427160357121,-0.2542509661923039,0.1695108896877881,0.1198044634997844,0.8278882784863759,0.5851229453429376,0.1313820845789189,0.0596909248008872,0.0383107168423118,2.8302363725612767,1.808942212402021,0.10069612118837644,0.1395962450510321,0.0989425748367778,0.7906549361393533,0.5565999630636497
epsilon0.002_delta5e-05,3,ok,True,0.002,5e-05,0.08744869232177735,-0.13740660544388,0.1124005812800619,0.0734785488778027,0.866760079657298,0.5666187145397281,0.12280427160357121,-0.2542509661923039,0.1695108896877881,0.1198044634997844,0.8278882784863759,0.5851229453429376,0.20426379690924995,0.0825240786073113,0.049365958168054,3.68081031447438,2.1918251323012345,0.10069612118837644,0.1395962450510321,0.0989425748367778,0.7906549361393533,0.5565999630636497
epsilon0.002_delta5e-05,4,ok,True,0.002,5e-05,0.07700597643852233,-0.1157806619706308,0.0961084601122248,0.0645277569456959,0.8245126604074621,0.553582405620652,0.12280427160357121,-0.2542509661923039,0.1695108896877881,0.1198044634997844,0.8278882784863759,0.5851229453429376,0.11260580673492211,0.0679418460795572,0.045442968455637,1.9666419588442443,1.3115681818666576,0.10069612118837644,0.1395962450510321,0.0989425748367778,0.7906549361393533,0.5565999630636497
epsilon0.002_delta5e-05,5,ok,True,0.002,5e-05,0.06163878440856933,-0.1174408814909006,0.1097569179965963,0.0725548190549419,0.5206482097107046,0.3441745389389585,0.12280427160357121,-0.2542509661923039,0.1695108896877881,0.1198044634997844,0.8278882784863759,0.5851229453429376,0.1826572761261206,0.0737605695285577,0.0437522813494712,3.65771105350954,2.158727870242382,0.10069612118837644,0.1395962450510321,0.0989425748367778,0.7906549361393533,0.5565999630636497
