cell,seed,status,robust,epsilon,delta,log_return_pa,max_drawdown,volatility,sortino,sharpe,ew_log_return_pa,ew_max_drawdown,ew_volatility,ew_sortino,ew_sharpe,bh_log_return_pa,bh_max_drawdown,bh_volatility,bh_sortino,bh_sharpe,log_return_pa_val,volatility_val,sortino_val,sharpe_val,ew_log_return_pa_val,ew_volatility_val,ew_sortino_val,ew_sharpe_val,bh_log_return_pa_val,bh_volatility_val,bh_sortino_val,bh_sharpe_val
td3,1,ok,False,,,0.06919027167978133,-0.2206336568500624,0.163303748656459,0.3896160251609596,0.2787524841638905,0.1457040179262549,-0.2351858068486361,0.153857819270143,1.149279906169133,0.7955472586185159,0.13323387834091402,-0.2559768929377363,0.1515764132482547,1.0367196408617303,0.7248579027427721,0.2209478765726089,0.1684279094865979,1.8787211800815813,1.176849705989134,0.0964744985103607,0.1624029522267185,0.8321566830238463,0.5115796093498449,0.1111871749162674,0.1628745479925984,0.917743569024326,0.5577609530225655
td3,2,ok,False,,,0.051216138065137785,-0.2638054439813377,0.1849407977860207,0.2082765512543441,0.1484863896233894,0.1457040179262549,-0.2351858068486361,0.153857819270143,1.149279906169133,0.7955472586185159,0.13323387834091402,-0.2559768929377363,0.1515764132482547,1.0367196408617303,0.7248579027427721,0.1713943928480148,0.1749124912458032,1.323452343626559,0.8222275093290112,0.0964744985103607,0.1624029522267185,0.8321566830238463,0.5115796093498449,0.1111871749162674,0.1628745479925984,0.917743569024326,0.5577609530225655
td3,3,ok,False,,,0.04871534517633335,-0.2252841955228223,0.1898883705209096,0.1843484350840938,0.131384733482399,0.1457040179262549,-0.2351858068486361,0.153857819270143,1.149279906169133,0.7955472586185159,0.13323387834091402,-0.2559768929377363,0.1515764132482547,1.0367196408617303,0.7248579027427721,0.211358293890953,0.1796423181645093,1.724999903407486,1.0634847806368335,0.0964744985103607,0.1624029522267185,0.8321566830238463,0.5115796093498449,0.1111871749162674,0.1628745479925984,0.917743569024326,0.5577609530225655
td3,4,ok,False,,,0.0480537530658694,-0.1942543020078084,0.1794407280124558,0.1889708300242734,0.1353297860430931,0.1457040179262549,-0.2351858068486361,0.153857819270143,1.149279906169133,0.7955472586185159,0.13323387834091402,-0.2559768929377363,0.1515764132482547,1.0367196408617303,0.7248579027427721,0.1721383035182953,0.1685359645353223,1.4115259924028252,0.8694761429868515,0.0964744985103607,0.1624029522267185,0.8321566830238463,0.5115796093498449,0.1111871749162674,0.1628745479925984,0.917743569024326,0.5577609530225655
td3,5,ok,False,,,0.11035822203630233,-0.2646789511758773,0.1887006707545304,0.6721673324323953,0.4604448487617525,0.1457040179262549,-0.2351858068486361,0.153857819270143,1.149279906169133,0.7955472586185159,0.13323387834091402,-0.2559768929377363,0.1515764132482547,1.0367196408617303,0.7248579027427721,0.1853253543376922,0.197358622532161,1.3036441987032426,0.824164462261907,0.0964744985103607,0.1624029522267185,0.8321566830238463,0.5115796093498449,0.1111871749162674,0.1628745479925984,0.917743569024326,0.5577609530225655
epsilon0.0005_delta1e-05,1,ok,True,0.0005,1e-05,0.0781626127400159,-0.2222301309511712,0.1522957649626644,0.5029669168240354,0.3580966059456751,0.1457040179262549,-0.2351858068486361,0.153857819270143,1.149279906169133,0.7955472586185159,0.13323387834091402,-0.2559768929377363,0.1515764132482547,1.0367196408617303,0.7248579027427721,0.2189433723688125,0.1646025773396574,1.9346788315765684,1.208637176383973,0.0964744985103607,0.1624029522267185,0.8321566830238463,0.5115796093498449,0.1111871749162674,0.1628745479925984,0.917743569024326,0.5577609530225655
epsilon0.0005_delta1e-05,2,ok,True,0.0005,1e-05,0.02507203508430389,-0.3516808707527395,0.203575693826497,0.008206876462255,0.0058553010541398,0.1457040179262549,-0.2351858068486361,0.153857819270143,1.149279906169133,0.7955472586185159,0.13323387834091402,-0.2559768929377363,0.1515764132482547,1.0367196408617303,0.7248579027427721,0.240140900015831,0.1919111442287569,1.7757302372866577,1.1086062319501624,0.0964744985103607,0.1624029522267185,0.8321566830238463,0.5115796093498449,0.1111871749162674,0.1628745479925984,0.917743569024326,0.5577609530225655
epsilon0.0005_delta1e-05,3,ok,True,0.0005,1e-05,0.027737239109956097,-0.3320410013725562,0.2217777222649593,0.0246639005248196,0.0174496930221867,0.1457040179262549,-0.2351858068486361,0.153857819270143,1.149279906169133,0.7955472586185159,0.13323387834091402,-0.2559768929377363,0.1515764132482547,1.0367196408617303,0.7248579027427721,0.3010084927082062,0.1888444890218182,2.4599191349775977,1.4918310142560425,0.0964744985103607,0.1624029522267185,0.8321566830238463,0.5115796093498449,0.1111871749162674,0.1628745479925984,0.917743569024326,0.5577609530225655
epsilon0.0005_delta1e-05,4,ok,True,0.0005,1e-05,0.057318952046580315,-0.2600783229378112,0.2255886297948712,0.2053194653927034,0.1489135575503137,0.1457040179262549,-0.2351858068486361,0.153857819270143,1.149279906169133,0.7955472586185159,0.13323387834091402,-0.2559768929377363,0.1515764132482547,1.0367196408617303,0.7248579027427721,0.1919445544481277,0.1940072554595058,1.3570126492382355,0.8383140277903421,0.0964744985103607,0.1624029522267185,0.8321566830238463,0.5115796093498449,0.1111871749162674,0.1628745479925984,0.917743569024326,0.5577609530225655
epsilon0.0005_delta1e-05,5,ok,True,0.0005,1e-05,0.11775110635444434,-0.2624025312960816,0.1841171234036064,0.7376391643786692,0.512252782542363,0.1457040179262549,-0.2351858068486361,0.153857819270143,1.149279906169133,0.7955472586185159,0.13323387834091402,-0.2559768929377363,0.1515764132482547,1.0367196408617303,0.7248579027427721,0.1985783725976944,0.2010571007528715,1.3795766395397262,0.8745014214928463,0.0964744985103607,0.1624029522267185,0.8321566830238463,0.5115796093498449,0.1111871749162674,0.1628745479925984,0.917743569024326,0.5577609530225655
epsilon0.002_delta5e-05,1,ok,True,0.002,5e-05,0.0700377359079539,-0.2583074584449844,0.1470458102596372,0.4491581921834076,0.315363250474954,0.1457040179262549,-0.2351858068486361,0.153857819270143,1.149279906169133,0.7955472586185159,0.13323387834091402,-0.2559768929377363,0.1515764132482547,1.0367196408617303,0.7248579027427721,0.1962875127792358,0.161928442198447,1.7635980701834493,1.112560145844652,0.0964744985103607,0.1624029522267185,0.8321566830238463,0.5115796093498449,0.1111871749162674,0.1628745479925984,0.917743569024326,0.5577609530225655
epsilon0.002_delta5e-05,2,ok,True,0.002,5e-05,-0.02545222706339701,-0.4442362425832586,0.2141215365334508,-0.3212911495351375,-0.2315227550517146,0.1457040179262549,-0.2351858068486361,0.153857819270143,1.149279906169133,0.7955472586185159,0.13323387834091402,-0.2559768929377363,0.1515764132482547,1.0367196408617303,0.7248579027427721,0.2856742441654205,0.193791355074229,2.1462723279403426,1.3344295556732522,0.0964744985103607,0.1624029522267185,0.8321566830238463,0.5115796093498449,0.1111871749162674,0.1628745479925984,0.917743569024326,0.5577609530225655
epsilon0.002_delta5e-05,3,ok,True,0.002,5e-05,0.05489986230677459,-0.2353484110446284,0.1899038893035574,0.235507811288906,0.1640963815331873,0.1457040179262549,-0.2351858068486361,0.153857819270143,1.149279906169133,0.7955472586185159,0.13323387834091402,-0.2559768929377363,0.1515764132482547,1.0367196408617303,0.7248579027427721,0.2778666913509369,0.1784731703193681,2.3865432955187336,1.4613840977942367,0.0964744985103607,0.1624029522267185,0.8321566830238463,0.5115796093498449,0.1111871749162674,0.1628745479925984,0.917743569024326,0.5577609530225655
epsilon0.002_delta5e-05,4,ok,True,0.002,5e-05,0.05684758523293567,-0.1987855801843103,0.1846000371604388,0.2523332272351368,0.1794126575371139,0.1457040179262549,-0.2351858068486361,0.153857819270143,1.149279906169133,0.7955472586185159,0.13323387834091402,-0.2559768929377363,0.1515764132482547,1.0367196408617303,0.7248579027427721,0.1997193098068237,0.1748201159417829,1.609477188600264,1.0048306414165418,0.0964744985103607,0.1624029522267185,0.8321566830238463,0.5115796093498449,0.1111871749162674,0.1628745479925984,0.917743569024326,0.5577609530225655
epsilon0.002_delta5e-05,5,ok,True,0.002,5e-05,0.09775584379094654,-0.2582449256814908,0.1962506459167448,0.5366753065010093,0.3782080550829825,0.1457040179262549,-0.2351858068486361,0.153857819270143,1.149279906169133,0.7955472586185159,0.13323387834091402,-0.2559768929377363,0.1515764132482547,1.0367196408617303,0.7248579027427721,0.2078193724155426,0.2037722040088816,1.4424230303726029,0.9121085692170054,0.0964744985103607,0.1624029522267185,0.8321566830238463,0.5115796093498449,0.1111871749162674,0.1628745479925984,0.917743569024326,0.5577609530225655
epsilon0.02_delta0.0005,1,ok,True,0.02,0.0005,0.1048216539801615,-0.2714210079024834,0.1596670325648408,0.71897052234408,0.5093298953958783,0.1457040179262549,-0.2351858068486361,0.153857819270143,1.149279906169133,0.7955472586185159,0.13323387834091402,-0.2559768929377363,0.1515764132482547,1.0367196408617303,0.7248579027427721,0.119684025645256,0.170117831011262,0.9563658491819298,0.594018489864743,0.0964744985103607,0.1624029522267185,0.8321566830238463,0.5115796093498449,0.1111871749162674,0.1628745479925984,0.917743569024326,0.5577609530225655
epsilon0.02_delta0.0005,2,ok,True,0.02,0.0005,0.10959194271872548,-0.2486898026630388,0.1551813680504456,0.7897107580290508,0.5549397273841649,0.1457040179262549,-0.2351858068486361,0.153857819270143,1.149279906169133,0.7955472586185159,0.13323387834091402,-0.2559768929377363,0.1515764132482547,1.0367196408617303,0.7248579027427721,0.1084919869899749,0.1702520275427698,0.8612313171214728,0.5404710196898419,0.0964744985103607,0.1624029522267185,0.8321566830238463,0.5115796093498449,0.1111871749162674,0.1628745479925984,0.917743569024326,0.5577609530225655
epsilon0.02_delta0.0005,3,ok,True,0.02,0.0005,0.13816683551276582,-0.2176668382514488,0.1601616202389149,1.02762759979468,0.7169502948262974,0.1457040179262549,-0.2351858068486361,0.153857819270143,1.149279906169133,0.7955472586185159,0.13323387834091402,-0.2559768929377363,0.1515764132482547,1.0367196408617303,0.7248579027427721,0.1068471297621727,0.1749694251591842,0.8524881073918448,0.5193399757372055,0.0964744985103607,0.1624029522267185,0.8321566830238463,0.5115796093498449,0.1111871749162674,0.1628745479925984,0.917743569024326,0.5577609530225655
epsilon0.02_delta0.0005,4,ok,True,0.02,0.0005,0.1049285230350506,-0.2971265439661152,0.1674032776850738,0.6995189277279475,0.4864335663587862,0.1457040179262549,-0.2351858068486361,0.153857819270143,1.149279906169133,0.7955472586185159,0.13323387834091402,-0.2559768929377363,0.1515764132482547,1.0367196408617303,0.7248579027427721,0.1093594655394554,0.1740544329566873,0.8401899621441603,0.5192615974235117,0.0964744985103607,0.1624029522267185,0.8321566830238463,0.5115796093498449,0.1111871749162674,0.1628745479925984,0.917743569024326,0.5577609530225655
